,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType,IC50,IC50 * purity,Mean Widltype,Fitness
1,0.2286027338,0.9966677175,1.0005020917,1.0378417477,1.0204957321,1.0200393119,1.0053407471,1.0239649744,92.21,1,108.56,100.10,97.54,0.97
2,0.1609531213,0.9722007059,0.9904597034,0.9743004697,1.0066188718,1.0210434843,0.9683662664,1.0294426051,92.47,1,103.03,95.27,97.54,1.02
3,0.1032546712,1.0099968039,1.0052494478,1.0046103854,1.0140137984,1.0059798094,1.0221390975,1.0220477873,91.07,1,106.79,97.26,97.54,1.00
4,0.0123851458,0.0079546864,0.0021145376,0.0015103851,0.0001006921,0.83483951,1.0197105699,1.0139711189,93.63,0,4.42,4.14,97.54,23.59
5,0.0127879179,0.0068470715,0.0013089972,0.0020138437,0.0005034605,0.8439018169,1.0123600155,1.0240403354,94.51,0,4.43,4.19,97.54,23.29
6,0.0059169978,0.0065547646,0.0001771561,0.0027281987,-0.0009920719,0.6286903622,0.9450197248,0.9668098881,95.29,0,4.29,4.09,97.54,23.84
7,0.904203043,0.9386420727,0.9296071501,0.9420434576,0.9370476597,0.9540546474,0.9539483363,0.9707427018,80.78,0,495.79,400.50,97.54,0.24
8,0.9133442641,0.9552238794,0.9313078742,0.9414057177,0.9449134137,0.9553301905,0.9393861237,0.9760573696,96.49,0,452.31,436.44,97.54,0.22
9,0.9526728565,0.9535231552,0.9533105964,0.9546923872,0.9544798284,0.9585189531,0.9500155226,0.9744629566,94.33,0,518.22,488.83,97.54,0.20
10,0.0006023292,0.0026219035,0.0010275023,0.0019841438,-0.000248017,0.4298153103,0.9795650655,0.9770140427,77.86,0,3.87,3.01,97.54,32.38
11,0.0013089972,0.0021145376,0.0008055386,0.001208307,0.0006041544,1.0193077341,1.0042039093,1.0168911989,93.42,0,5.94,5.55,97.54,17.59
12,0.0088556172,0.0041995706,0.0010042452,0.940612611,1.0046103745,0.9981284408,0.9952982609,0.9966676958,89.41,0,18.80,16.81,97.54,5.80
13,0.2037265605,0.9486769944,0.9701092606,0.9745642955,0.9802233726,0.9820293999,0.9868456403,0.9816681944,96.25,0,104.99,101.05,97.54,0.97
14,0.6606664076,0.9766111743,0.986966066,0.9785376274,0.977454011,0.9791396844,0.9986454257,1.0129737211,92.55,0,146.74,135.81,97.54,0.72
15,0.9886517394,0.9913006752,0.9923842916,0.984437556,0.9748050752,0.9814274147,0.993949611,1.0061106019,93.72,0,672.60,630.36,97.54,0.15
16,0.0048162281,-1.74933069909656E-009,0.0015652757,0.0015652757,0.0002408122,0.9732398276,0.9866048606,1.0031004606,90.58,0,4.79,4.34,97.54,22.48
17,0.9731194018,0.9868456403,0.9725173449,0.9932271283,0.9878089027,0.9887721652,0.9940700368,1.0071942183,69.16,0,560.72,387.79,97.54,0.25
18,0.9909394697,0.9856415981,0.9973209578,0.9943108165,0.9961169156,0.9802233726,1.0159838624,1.0264591798,90.57,0,686.17,621.46,97.54,0.16
19,0.0084284039,0.0050570437,0.0042142025,0.0014448679,0.0829595696,0.9630052898,0.9935884055,1.0299509523,91.99,0,5.87,5.40,97.54,18.05
20,-0.0004816256,0.3106468603,0.940609833,0.9856415981,0.991421101,0.9873272715,1.0112880477,1.0220041449,89.19,0,55.00,49.06,97.54,1.99
21,-0.00024081,0.3482134851,0.9886517394,1.0056289706,0.9828722366,0.990819044,1.000331099,1.023810244,88.94,0,58.80,52.30,97.54,1.87
22,0.0268504839,0.5789108903,0.8623460882,0.9952740789,0.990216987,0.9697480551,0.9980433687,1.0135757063,57.77,0,68.06,39.32,97.54,2.48
23,0.0486439286,0.0036121724,0.0024081106,0.001685679,0.0009632456,1.0033412403,1.0081574807,1.0116492532,87.93,0,5.12,4.50,97.54,21.66
24,0.7536815842,0.953052275,1.0156828113,1.0034990665,1.0017872541,0.9976589066,1.0003775686,1.0141724168,91.96,0,189.84,174.58,97.54,0.56
25,0.9513825829,0.9613838831,0.955271959,0.9446039275,0.9528272556,0.9566054878,0.9602726423,0.9558276126,87.11,0,530.17,461.83,97.54,0.21
26,0.0063711952,0.0037041831,0.0005926698,0.0003704191,0.2002852309,0.9417146482,0.9470486971,0.9636064311,91,0,6.59,6.00,97.54,16.26
27,0.9548275157,0.9476043507,0.9462708219,0.9642731624,0.955383103,0.9559387565,0.9563832661,0.9873872638,89.21,0,688.37,614.09,97.54,0.16
28,0.9498268324,0.9726075682,0.9546052145,0.971829693,0.9446039275,0.9567166318,0.9800529549,0.9670512977,95.66,0,233.96,223.80,97.54,0.44
29,1.0110570188,0.9847202725,0.9582723822,0.9707184521,0.9199340756,0.9587168918,0.9670512977,0.9736077314,92.63,0,1100.26,1019.17,97.54,0.10
30,0.9818309933,0.9619395367,0.9500491203,0.9567166318,0.9569388534,0.9463819658,0.9544940838,0.9747189722,83.65,0,926.68,775.17,97.54,0.13
