,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,Wildtype
1,0.0439590727,-0.015500189,-0.0216831913,1.039605361,1.028878401,1.0203904926,0.9820485616,90.34,0
2,0.4392448429,0.9895764997,1.0070704862,1.0121728989,0.9905969823,1.0130475982,0.9910343319,93.71,0
3,1.1352699423,1.1004109806,1.0805375675,1.0161904413,0.9955121404,0.9425066159,0.9677508262,91.8,0
4,0.20642904,-0.0016036154,0.9095415118,1.0212114586,1.0461403892,1.0363729135,1.0139222975,91.44,1
5,0.0191099891,1.0506103733,1.0510201344,1.0466591056,0.9578580227,1.0118294126,0.9821217332,75.52,0
6,0.096013366,0.6953621386,0.9438090708,1.0515323358,1.002975646,0.9729752802,0.9845363968,90.11,0
7,0.0432200393,0.0025366163,1.09056208,1.0522933207,1.0340443176,1.0171709411,0.9696825571,92.7,0
8,0.1710581836,0.0605251284,1.0589519384,1.0341174892,0.9794582861,0.928633276,0.9957316553,90.99,0
9,1.1678020464,1.0824400298,1.0643227356,1.0096342638,0.9665800802,0.9736777278,0.9151989658,82.65,0
10,1.1944657862,1.071098428,0.9990243783,0.9141745631,0.9894388956,0.9470432566,0.9917072159,83.49,0
11,0.8198257374,0.7524328123,1.1283918097,1.0689032793,1.0186782766,0.9909023281,0.99963902,90.12,0
12,1.2050756717,1.0892742594,0.9921462457,1.0045415188,0.9838485835,0.9875364334,1.0000487811,91.2,0
13,0.0548441897,0.0033223217,1.0583594507,0.9950423996,0.971084978,0.9298194841,0.959579204,93.14,0
14,0.0900109175,0.7921737207,0.976576691,0.9361723654,0.936737066,0.897885667,0.956670996,51.41,0
15,-0.0277715033,0.6794030174,0.8362627175,0.855631947,0.9134431676,0.9200783993,0.9450663994,88.63,0
16,0.5963637989,0.864554216,0.9121302388,0.9620074164,0.9333206276,0.8817493482,0.9420311338,90.38,0
17,1.0641193965,1.0049246595,0.8759329324,0.9486663655,0.9469016762,0.9131890523,0.9259089326,93.83,0
18,-0.0505712887,0.9690661735,0.9538474932,0.9521251565,0.9206854524,0.9129490546,0.9665956085,91.64,0
19,1.0283879681,0.890008094,1.0081716878,0.953678083,0.933772388,0.8923657189,0.939701744,56.94,0
20,0.9753202323,0.9724543769,0.9260077552,0.9381488174,0.9294665462,0.9354382547,0.9470852039,90.87,0
21,0.0087505059,-0.0561124131,0.0804110079,0.9861766007,0.9552733621,0.9186384128,0.9457722751,48.62,0
