,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType,IC50,IC50 * purity,Mean Widltype,Fitness
1,-0.0004984058,-0.0006853071,-0.0009656573,0.001557512,0.0021182194,-0.0010591097,0.9633532159,0.9886784661,,,,,,
2,0.6357147255,0.9372805025,0.9441023739,0.9636336371,0.9698013892,0.9769970702,0.9694275239,0.9902670593,,,,,,
3,0.0141640284,0.8715845873,0.9753150107,0.9826976244,0.9737263061,0.9635401485,0.9642877677,0.9687733711,,,,,,
4,0.0303403699,0.853174735,0.9811089198,0.9975562067,0.9734459072,0.9590545451,0.9635401485,0.9626055967,,,,,,
5,0.0020434544,0.8750328964,0.9702686094,0.9744738584,0.9741935263,0.98905222,0.9883980672,0.9863421424,,,,,,
6,0.0022116683,0.0012771618,0.0010902605,0.0124819143,0.9855945233,0.9813892074,0.9780250883,0.9874635154,,,,,,
7,0.0124912609,0.0116623491,0.0076411611,0.0014640631,-0.0003115045,0.4276932228,0.941952994,0.9584003923,,,,,,
8,0.0026623611,0.0015294413,0.0066275824,0.0015294413,0.0062877049,-0.0007363988,1.0312402657,1.0744045161,,,,,,
9,0.7910612469,1.0645481527,1.0475543173,1.0254623611,1.0357719542,1.0474410066,1.0363384406,1.0446087097,,,,,,
10,0.0010762194,1.0755374214,1.0222901994,1.0229699966,1.0165122949,1.0217237806,1.0200243889,1.0126604035,,,,,,
11,0.0060611377,1.0177585244,1.0229699966,1.0055229722,1.0141331736,1.0151528356,1.0152660789,0.9965729059,,,,,,
12,0.0394823031,1.0376979458,1.0379245214,1.0526524922,1.0518594518,1.0655677606,1.0645480986,1.0495935738,,,,,,
13,0.0032288203,0.0015294413,5.66458954604352E-005,0.0361967766,1.0567309403,1.0585436401,1.0546917487,1.0422295884,,,,,,
14,0.0127453476,-0.0014161495,0.0005098131,0.0022771666,0.0003965234,0.4064236614,1.0099414174,1.0139066196,,,,,,
15,0.0080056176,0.0068842079,0.0017444133,0.0019313146,0.0060805298,0.0007164544,0.9438219861,0.9591480114,,,,,,
16,0.6719913995,1.0091483095,0.9464978997,1.0145863492,1.0174186461,1.0188914837,1.0089217554,0.9965729059,,,,,,
17,0.0040220244,1.0285212661,0.993514055,1.0123205387,1.0137933088,1.0200243889,1.0141331736,0.9939672306,,,,,,
18,0.0053813989,0.9646246538,1.0313535765,1.0028039861,0.9776531519,1.0018976349,1.0016710808,0.9870564208,,,,,,
19,0.0079159059,0.8622397491,0.9869028289,0.9817630726,0.9720441352,0.9750346118,0.9689603037,0.9602693844,,,,,,
20,0.0016509644,0.0029592735,0.0009033557,0.0429001784,0.9647549879,0.9668109126,0.971576915,0.9589610788,,,,,,
21,0.0044544875,0.0009968081,0.0030527392,0.0045479307,0.0044544875,0.4622700162,0.9575593068,0.9696144566,,,,,,
22,,,,,,,,,,,,,,
23,0.0100,-0.0013,-0.0063,-0.0055,-0.0039,1.0406,1.0536,1.0346,,,,,,
24,0.0079,-0.0018,-0.0067,-0.0045,-0.0043,1.0235,1.0442,1.0278,,,,,,
25,0.0024,-0.0048,-0.0053,-0.0039,-0.0036,1.0319,1.0393,1.0306,,,,,,
26,0.0064,-0.0054,-0.0045,-0.0042,-0.0058,1.0337,1.0164,1.0139,,,,,,
