,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType
1,0.964989425,0.999395436,0.996977115,1.042925091,0.861771391,0.998735918,0.996977115,1.01632362,84.25,1
2,0.032289979,0.022286959,0.006677844,0.10198137,-0.001676332,0.954436803,0.996097713,1.008409138,89.01,0
3,0.931792574,0.934760538,0.91794223,0.957734461,0.932452093,0.946632262,0.930033837,0.943224598,77.47,0
4,0.004039684,0.002061064,0.000741982,0.001731292,-0.001786253,0.995108436,1.032372403,1.02324876,81.23,0
5,1.012696138,1.011816737,0.998845794,1.002143517,0.998076334,0.996537414,1.007199977,1.030064023,80.74,0
6,0.986314551,1.005111415,1.000494655,0.997856516,0.996537414,1.004561838,1.015444219,1.023138884,92.87,0
7,0.88210724,0.996757297,0.992800056,0.994998494,1.001374057,1.009178598,1.007749619,1.032152586,92.3,0
8,0.965648943,1.010167941,1.006980159,1.015224401,1.005880875,1.004561838,1.02324876,1.033911323,91.07,0
9,0.08725164,1.002473276,1.004891597,1.044573886,1.007639678,1.011816737,1.01555416,1.034241148,83.94,0
10,0.001181674,0.778119747,0.715243652,1.006540459,1.011486978,1.016543438,1.015993861,1.036659404,84.12,0
11,1.000448551,0.276465301,1.8567E-09,1.302033525,-0.00224282,-0.000149522,1.223086158,1.313546633,94.25,0
12,0.021979671,1.139653113,1.181519137,1.226824192,1.185855268,1.215310996,0.955143496,1.25672847,79.44,0
13,1.133821786,1.174192614,1.149970117,1.116327716,1.135167436,1.152810963,1.152362413,1.215460542,75.74,0
14,1.8567E-09,0.956788238,1.197817015,1.250897143,1.255382731,1.260017955,1.113038231,0.968301435,92.27,0
15,-0.000448565,0.001196172,-0.002093302,0.001495215,1.0941986,1.264802635,1.256429377,1.314742825,74.35,0
16,-0.001196174,0.002392348,-0.000747607,0.001794257,1.250747597,1.268839674,1.26943777,1.323115994,74.77,0
17,0.018092107,0.004485646,-0.001644735,0.001794257,-0.001196174,0.004186603,1.27467109,1.340610065,84.96,0
18,0.002392348,0.0020933,-0.001644735,0.001495215,-0.000747607,0.003438994,1.289922232,1.353767915,94.54,0
